lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3788243.023,CV6BG001SEG7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-01-03 15:36:10,100
3860703.003,KCLFT160WFD6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-05-04 19:32:48,2
3918873.003,CZ4KZ345SEE2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-08-08 11:07:58,100
3765513.003,M6FRK039WAD0,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-31 08:17:49,0.930393833333333031276879410143010318279266357421875
3875673.003,CY1FX108SEB2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-07-02 06:45:15,0
3902043.003,CZ4KZ108SEA6,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-07-21 17:07:26,100
3765503.003,M6MFL062WAB1,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-28 02:42:08,0.976623416666666965824106227955780923366546630859375
3860583.003,WBF2K065ESF2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-04-26 23:16:44,2
3886553.003,WCD9P090ESC1,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-23 01:12:13,0
3800863.003,CV6BH035SEA7,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-20 19:32:43,0.42765083333333298032385982878622598946094512939453125
3807933.003,CX7EQ398SEB1,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-02-26 02:35:33,100
3840513.003,POOTS104MXE2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-04-08 00:24:42,100
3817673.003,CX6XK250SEC7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-02-26 03:16:00,2
3878943.003,CS1UT005SEB7,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-22 11:22:24,0
3910733.073,CZ5AP228SEG4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-09-15 05:13:39,100
3899983.003,CU4KY092SEA2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-07-21 13:18:34,100
3736153.083,8T928K38SLD2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-11-14 07:46:47,2
3871293.003,CX8GQ408SEE4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-06-17 20:24:46,0.6967508333333329861858373988070525228977203369140625
3807933.003,CX7EQ398SEB1,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-02-26 02:35:33,0
3903873.003,CZ5JK076SED1,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-31 21:05:16,0.9884192499999999714788145865895785391330718994140625
3807923.003,CX7EQ191SEC5,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-02-22 03:19:36,0
3870923.003,CY1FX035SEC7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-06-02 11:19:27,2
3755903.003,CN4ST309SEH2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-04 00:43:42,2
3801623.003,POJMZ018MXG2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-01-23 12:15:55,100
3868633.003,CX8GQ325SEB5,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-05-30 00:45:02,95.8332999999999941564965411089360713958740234375
3882953.003,M75HW018WAG3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-05 19:30:43,0.98757091666666696472276498752762563526630401611328125
3868633.003,CX8GQ325SEB5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-05-30 00:45:02,2
3878943.003,CS1UT005SEB7,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-06-22 11:22:24,0.463850416666666987008937894643167965114116668701171875
3807913.003,CU4SZ068SEH1,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-02-12 02:18:22,2
3836403.003,CX5XL304SEC3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-04-08 23:32:45,0.276210583333332981847973996991640888154506683349609375
